X,Y,Z,VX,VY,VZ
-69864321.24146639,130962553.5369869,-2033.088555023074,-26.79197674778075,-14.12891075912126,0.001808601183263647
-72168345.75798875,129721603.8167827,-1867.298821792006,-26.54045574452804,-14.59607718634988,0.002020850531233798
-74450258.64268567,128440476.7650787,-1685.423688217998,-26.2801392690358,-15.05889053338131,0.002179816364694886
-76709302.10117954,127119561.7196739,-1492.307520493865,-26.01108379611366,-15.5170448268711,0.002280534407393731
-78944725.00597136,125759274.2403084,-1293.06869597733,-25.73338660629404,-15.97024054714374,0.002321592708842246
-81155786.24831116,124360055.180297,-1092.80393011868,-25.44718146088716,-16.41819299839809,0.00230484071515491
-83341757.637907,122922369.098292,-896.3257466033101,-25.15263247705181,-16.8606391063211,0.002234913316024212
-85501926.20720455,121446702.1764378,-707.9483078941703,-24.8499265820421,-17.29734192673814,0.002118596209990997
-87635595.83437763,119933559.8688535,-531.3322522118688,-24.53926548079579,-17.72809233016409,0.001964111655827772
-89742088.19531633,118383464.5276658,-369.3906678333879,-24.22085836107952,-18.15270790047986,0.001780437038394922
-91820743.15749116,116796953.2217569,-224.2485657334328,-23.89491641557392,-18.57102973553582,0.001576763276415427
-93870918.80269822,115174575.8831031,-97.24046129733324,-23.56164977989749,-18.98291826809972,0.001362161387838512
-95891991.29222964,113516893.8122694,11.07300195097923,-23.22126690463585,-19.38824932738101,0.001145473633709315
-97883354.7673423,111824478.4744471,100.8877756521106,-22.87397588872589,-19.7869115096171,0.000935398962177203
-99844421.42108072,110097910.4360564,173.1526598855853,-22.5199869517861,-20.17880566496875,0.0007407074429153226
-101774621.7942752,108337778.2343374,229.586379379034,-22.15951494371626,-20.5638470237344,0.0005704897529597019
-103673405.240381,106544676.9413307,272.7133305817842,-21.79278047781277,-20.94197013508804,0.0004343158119004542
-105540240.3660881,104719206.1917479,305.9033183380961,-21.42000791385541,-21.31313619570424,0.0003421377578485263
-107374615.0902295,102861967.5232162,333.3848927542567,-21.04141822052296,-21.67734126648692,0.000303743059706818
-109176035.8076731,100973561.0743566,360.1856842935085,-20.65721526274211,-22.03462224572925,0.0003275921662879711
-110944025.0923318,99054582.03167666,391.944579988718,-20.26756605360192,-22.38505582588091,0.0004190364847183048
-112678117.5715472,97105617.65301947,434.5535907372832,-19.87257926158154,-22.72874551598551,0.000578248595775932
-114377854.1592188,95127246.0085132,493.6337720155716,-19.47229034162367,-23.06579507766727,0.0007985998443942322
-116042775.6342194,93120037.44525562,573.9230024963617,-19.06666255352884,-23.39627355436693,0.001066376687758108
-117672417.1683086,91084559.02502473,678.7174218855798,-18.65560782167317,-23.72018369273874,0.001362322512898473
-119266305.3419808,89021381.08233306,809.514610465616,-18.23902172592148,-24.03744607547483,0.001664627142012876
-120823958.341977,86931084.25931518,965.9392699152232,-17.81681984301198,-24.3479038956652,0.001952267292695709
-122344888.9101353,84814265.38784704,1145.930724427104,-17.38896362685521,-24.6513433799544,0.002207578014859379
-123828608.8817382,82671541.29656345,1346.097747288644,-16.95547125725642,-24.94751964956085,0.002417529066491397
-125274634.0907246,80503550.4780669,1562.131132133305,-16.5164161353695,-25.23617931622589,0.002573849879640377
-126682488.8188575,78310953.10125521,1789.194259054959,-16.07191881981025,-25.51707596287816,0.00267248156265687
-128051709.4540097,76094429.9915058,2022.254294414073,-15.62213744223159,-25.78997883996903,0.002712813238085587
-129381847.3612503,73854681.07425798,2256.348570670933,-15.16725932846071,-26.05467700599248,0.002696973212918508
-130672471.1117927,71592423.57370436,2486.795717015862,-14.70749450210973,-26.31098117714499,0.002629261600821664
-131923168.217655,69308390.09500106,2709.36323621124,-14.24307061862983,-26.55872473439339,0.002515700594686976
-133133546.4634566,67003326.63375065,2920.39916196093,-13.77422859176072,-26.79776442586435,0.002363642937282862
-134303234.870708,64677990.53969203,3116.930662579834,-13.3012184109036,-27.02798067944654,0.00218139357064473
-135431884.3049171,62333148.48141415,3296.730067186058,-12.82429507983683,-27.24927721636226,0.001977835602779976
-136519167.7469571,59969574.4824362,3458.349581558257,-12.34371497702614,-27.46157977733401,0.001762085843257211
-137564780.2845925,57588048.10237881,3601.12902315706,-11.85973309267101,-27.66483408891991,0.001543221920421445
-138568438.9170148,55189352.81100462,3725.184457153082,-11.37260150444026,-27.85900353320008,0.001330117675820475
-139529882.2854493,52774274.55210771,3831.38788953051,-10.88256917492957,-28.04406720816896,0.001131400483501466
-140448870.4344683,50343600.43102103,3921.347984042019,-10.38988278472088,-28.22001912696788,0.0009555115139683324
-141325184.6669681,47898117.39798649,3997.398582607508,-9.894787920792734,-28.38686920696563,0.0008108138021540867
-142158627.47958,45438610.75314932,4062.595408527181,-9.397529534285509,-28.544646444193,0.0007056546886179405
-142949022.4535221,42965862.28362491,4120.71151859127,-8.89835016898101,-28.69340418236615,0.0006482487868435527
-143696213.831335,40480647.88539383,4176.208910970017,-8.397484149590138,-28.83322650632721,0.0006462134030300604
-144400065.354604,37983734.66398509,4234.148851530626,-7.89514607110383,-28.96423336972741,0.0007055914084244108
-145060457.8397865,35475877.79055719,4299.992684733123,-7.391513243054952,-29.08658030019502,0.0008292998363330639
