            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458876.500000000, A.D. 2020-Jan-28 00:00:00.0000, -8.974208819531633E+07,  1.183834645276658E+08, -3.693906678333879E+02, -2.422085836107952E+01, -1.815270790047986E+01,  1.780437038394922E-03,  4.955227627719191E+02,  1.485539870463445E+08,  1.659326364856120E-01,
2458877.500000000, A.D. 2020-Jan-29 00:00:00.0000, -9.182074315749115E+07,  1.167969532217569E+08, -2.242485657334328E+02, -2.389491641557392E+01, -1.857102973553582E+01,  1.576763276415427E-03,  4.955709253960808E+02,  1.485684258378257E+08,  1.683351706008602E-01,
2458878.500000000, A.D. 2020-Jan-30 00:00:00.0000, -9.387091880269822E+07,  1.151745758831031E+08, -9.724046129733324E+01, -2.356164977989749E+01, -1.898291826809972E+01,  1.362161387838512E-03,  4.956198138777585E+02,  1.485830822359158E+08,  1.709760780273784E-01,
2458879.500000000, A.D. 2020-Jan-31 00:00:00.0000, -9.589199129222964E+07,  1.135168938122694E+08,  1.107300195097923E+01, -2.322126690463585E+01, -1.938824932738101E+01,  1.145473633709315E-03,  4.956695020228069E+02,  1.485979783670532E+08,  1.738898739296721E-01,
2458880.500000000, A.D. 2020-Feb-01 00:00:00.0000, -9.788335476734230E+07,  1.118244784744471E+08,  1.008877756521106E+02, -2.287397588872589E+01, -1.978691150961710E+01,  9.353989621772030E-04,  4.957200729353814E+02,  1.486131391452372E+08,  1.771070641437140E-01,
2458881.500000000, A.D. 2020-Feb-02 00:00:00.0000, -9.984442142108072E+07,  1.100979104360564E+08,  1.731526598855853E+02, -2.251998695178610E+01, -2.017880566496875E+01,  7.407074429153226E-04,  4.957716182387438E+02,  1.486285920384306E+08,  1.806565517647211E-01,
2458882.500000000, A.D. 2020-Feb-03 00:00:00.0000, -1.017746217942752E+08,  1.083377782343374E+08,  2.295863793790340E+02, -2.215951494371626E+01, -2.056384702373440E+01,  5.704897529597019E-04,  4.958242377718691E+02,  1.486443669776051E+08,  1.845663897525726E-01,
2458883.500000000, A.D. 2020-Feb-04 00:00:00.0000, -1.036734052403810E+08,  1.065446769413307E+08,  2.727133305817842E+02, -2.179278047781277E+01, -2.094197013508804E+01,  4.343158119004542E-04,  4.958780391598759E+02,  1.486604962279595E+08,  1.888620047950552E-01,
2458884.500000000, A.D. 2020-Feb-05 00:00:00.0000, -1.055402403660881E+08,  1.047192061917479E+08,  3.059033183380961E+02, -2.142000791385541E+01, -2.131313619570424E+01,  3.421377578485263E-04,  4.959331364056613E+02,  1.486770139667025E+08,  1.935610578791732E-01,
2458885.500000000, A.D. 2020-Feb-06 00:00:00.0000, -1.073746150902295E+08,  1.028619675232162E+08,  3.333848927542567E+02, -2.104141822052296E+01, -2.167734126648692E+01,  3.037430597068180E-04,  4.959896464523559E+02,  1.486939552525027E+08,  1.986644923745705E-01,
